Fam ID	Indiv ID	Wsp
DGRP-3-0149	DGRP-3-0149	1
DGRP-3-0150	DGRP-3-0150	1
DGRP-3-0151	DGRP-3-0151	1
DGRP-3-0152	DGRP-3-0152	0
DGRP-3-0153	DGRP-3-0153	1
DGRP-3-0154	DGRP-3-0154	1
DGRP-3-0155	DGRP-3-0155	1
DGRP-3-0156	DGRP-3-0156	1
DGRP-3-0157	DGRP-3-0157	0
DGRP-3-0158	DGRP-3-0158	0
DGRP-3-0159	DGRP-3-0159	1
DGRP-3-0160	DGRP-3-0160	1
DGRP-3-0161	DGRP-3-0161	0
DGRP-3-0162	DGRP-3-0162	1
DGRP-3-0163	DGRP-3-0163	0
DGRP-3-0164	DGRP-3-0164	1
DGRP-3-0165	DGRP-3-0165	1
DGRP-3-0166	DGRP-3-0166	0
DGRP-3-0167	DGRP-3-0167	0
DGRP-3-0168	DGRP-3-0168	1
DGRP-3-0169	DGRP-3-0169	0
DGRP-3-0170	DGRP-3-0170	1
DGRP-3-0171	DGRP-3-0171	1
DGRP-3-0172	DGRP-3-0172	1
DGRP-3-0173	DGRP-3-0173	1
DGRP-3-0174	DGRP-3-0174	1
DGRP-3-0175	DGRP-3-0175	1
DGRP-3-0176	DGRP-3-0176	1
DGRP-3-0177	DGRP-3-0177	1
DGRP-3-0178	DGRP-3-0178	0
DGRP-3-0179	DGRP-3-0179	1
DGRP-3-0180	DGRP-3-0180	0
DGRP-3-0181	DGRP-3-0181	0
DGRP-3-0182	DGRP-3-0182	0
DGRP-3-0183	DGRP-3-0183	1
DGRP-3-0184	DGRP-3-0184	1
DGRP-3-0185	DGRP-3-0185	0
DGRP-3-0186	DGRP-3-0186	0
DGRP-3-0187	DGRP-3-0187	1
DGRP-3-0188	DGRP-3-0188	0
DGRP-3-0189	DGRP-3-0189	1
DGRP-3-0190	DGRP-3-0190	0
DGRP-3-0191	DGRP-3-0191	1
DGRP-3-0192	DGRP-3-0192	0
DGRP-3-0193	DGRP-3-0193	1
DGRP-3-0194	DGRP-3-0194	0
DGRP-3-0195	DGRP-3-0195	1
DGRP-3-0196	DGRP-3-0196	0
DGRP-3-0197	DGRP-3-0197	1
DGRP-3-0198	DGRP-3-0198	0
DGRP-3-0199	DGRP-3-0199	1
DGRP-3-0200	DGRP-3-0200	1
DGRP-3-0201	DGRP-3-0201	1
DGRP-3-0202	DGRP-3-0202	0
DGRP-3-0203	DGRP-3-0203	0
DGRP-3-0204	DGRP-3-0204	0
DGRP-3-0205	DGRP-3-0205	1
DGRP-3-0206	DGRP-3-0206	1
DGRP-3-0207	DGRP-3-0207	0
DGRP-3-0208	DGRP-3-0208	1
DGRP-3-0209	DGRP-3-0209	0
DGRP-3-0210	DGRP-3-0210	0
DGRP-3-0211	DGRP-3-0211	0
DGRP-3-0212	DGRP-3-0212	1
DGRP-3-0213	DGRP-3-0213	0
DGRP-3-0214	DGRP-3-0214	1
DGRP-3-0215	DGRP-3-0215	0
DGRP-3-0216	DGRP-3-0216	1
DGRP-3-0217	DGRP-3-0217	1
DGRP-3-0218	DGRP-3-0218	0
DGRP-3-0219	DGRP-3-0219	0
DGRP-3-0220	DGRP-3-0220	1
DGRP-3-0221	DGRP-3-0221	1
DGRP-3-0222	DGRP-3-0222	0
DGRP-3-0223	DGRP-3-0223	0
DGRP-3-0224	DGRP-3-0224	1
DGRP-3-0225	DGRP-3-0225	1
DGRP-3-0226	DGRP-3-0226	0
DGRP-3-0227	DGRP-3-0227	1
DGRP-3-0228	DGRP-3-0228	1
DGRP-3-0229	DGRP-3-0229	1
DGRP-3-0230	DGRP-3-0230	1
DGRP-3-0231	DGRP-3-0231	1
DGRP-3-0232	DGRP-3-0232	1
DGRP-3-0233	DGRP-3-0233	1
DGRP-3-0234	DGRP-3-0234	1
DGRP-3-0235	DGRP-3-0235	0
DGRP-3-0236	DGRP-3-0236	1
DGRP-3-0237	DGRP-3-0237	1
DGRP-3-0238	DGRP-3-0238	1
DGRP-3-0239	DGRP-3-0239	1
DGRP-3-0240	DGRP-3-0240	1
DGRP-3-0241	DGRP-3-0241	1
DGRP-3-0242	DGRP-3-0242	1
DGRP-3-0243	DGRP-3-0243	0
DGRP-3-0244	DGRP-3-0244	1
DGRP-3-0245	DGRP-3-0245	1
DGRP-3-0246	DGRP-3-0246	1
DGRP-3-0247	DGRP-3-0247	1
DGRP-3-0248	DGRP-3-0248	1
DGRP-3-0249	DGRP-3-0249	1
DGRP-3-0250	DGRP-3-0250	1
DGRP-3-0251	DGRP-3-0251	1
DGRP-3-0252	DGRP-3-0252	1
DGRP-3-0253	DGRP-3-0253	1
DGRP-3-0254	DGRP-3-0254	1
DGRP-3-0255	DGRP-3-0255	1
DGRP-3-0256	DGRP-3-0256	1
DGRP-3-0257	DGRP-3-0257	1
DGRP-3-0258	DGRP-3-0258	1
DGRP-3-0259	DGRP-3-0259	1
DGRP-3-0260	DGRP-3-0260	1
DGRP-3-0261	DGRP-3-0261	1
DGRP-3-0262	DGRP-3-0262	1
DGRP-3-0263	DGRP-3-0263	1
DGRP-3-0264	DGRP-3-0264	1
DGRP-3-0265	DGRP-3-0265	0
DGRP-3-0266	DGRP-3-0266	1
DGRP-3-0267	DGRP-3-0267	1
DGRP-3-0268	DGRP-3-0268	0
DGRP-3-0269	DGRP-3-0269	0
DGRP-3-0270	DGRP-3-0270	0
DGRP-3-0271	DGRP-3-0271	1
DGRP-3-0272	DGRP-3-0272	0
DGRP-3-0273	DGRP-3-0273	1
DGRP-3-0274	DGRP-3-0274	0
DGRP-3-0275	DGRP-3-0275	1
DGRP-3-0276	DGRP-3-0276	1
DGRP-3-0277	DGRP-3-0277	1
DGRP-3-0278	DGRP-3-0278	1
DGRP-3-0279	DGRP-3-0279	1
DGRP-3-0280	DGRP-3-0280	1
DGRP-3-0281	DGRP-3-0281	1
DGRP-3-0282	DGRP-3-0282	1
DGRP-3-0283	DGRP-3-0283	1
DGRP-3-0284	DGRP-3-0284	0
DGRP-3-0285	DGRP-3-0285	1
DGRP-3-0286	DGRP-3-0286	0
DGRP-3-0287	DGRP-3-0287	1
DGRP-3-0288	DGRP-3-0288	1
DGRP-3-0289	DGRP-3-0289	0
DGRP-3-0290	DGRP-3-0290	1
DGRP-3-0291	DGRP-3-0291	1
DGRP-3-0292	DGRP-3-0292	0
DGRP-3-0293	DGRP-3-0293	1
DGRP-3-0294	DGRP-3-0294	1
DGRP-3-0295	DGRP-3-0295	1
DGRP-3-0296	DGRP-3-0296	1
DGRP-3-0297	DGRP-3-0297	1
DGRP-3-0298	DGRP-3-0298	1
DGRP-3-0299	DGRP-3-0299	1
DGRP-3-0300	DGRP-3-0300	1
DGRP-3-0301	DGRP-3-0301	0
DGRP-3-0302	DGRP-3-0302	1
DGRP-3-0303	DGRP-3-0303	1
DGRP-3-0304	DGRP-3-0304	1
DGRP-3-0305	DGRP-3-0305	1
DGRP-3-0306	DGRP-3-0306	0
DGRP-3-0307	DGRP-3-0307	1
DGRP-3-0308	DGRP-3-0308	0
DGRP-3-0309	DGRP-3-0309	1
DGRP-3-0310	DGRP-3-0310	0
DGRP-3-0311	DGRP-3-0311	0
DGRP-3-0312	DGRP-3-0312	1
DGRP-3-0313	DGRP-3-0313	1
DGRP-3-0314	DGRP-3-0314	1
DGRP-3-0315	DGRP-3-0315	0
DGRP-3-0316	DGRP-3-0316	0
DGRP-3-0317	DGRP-3-0317	0
DGRP-3-0318	DGRP-3-0318	1
DGRP-3-0319	DGRP-3-0319	0
DGRP-3-0320	DGRP-3-0320	1
DGRP-3-0321	DGRP-3-0321	1
DGRP-3-0322	DGRP-3-0322	1
DGRP-3-0323	DGRP-3-0323	1
DGRP-3-0324	DGRP-3-0324	0
DGRP-3-0325	DGRP-3-0325	1
DGRP-3-0326	DGRP-3-0326	1
DGRP-3-0327	DGRP-3-0327	1
DGRP-3-0328	DGRP-3-0328	1
DGRP-3-0329	DGRP-3-0329	1
DGRP-3-0330	DGRP-3-0330	1
DGRP-3-0331	DGRP-3-0331	1
DGRP-3-0332	DGRP-3-0332	1
DGRP-3-0333	DGRP-3-0333	1
DGRP-3-0334	DGRP-3-0334	1
DGRP-3-0335	DGRP-3-0335	1
DGRP-3-0336	DGRP-3-0336	1
DGRP-3-0337	DGRP-3-0337	0
DGRP-3-0338	DGRP-3-0338	1
DGRP-3-0339	DGRP-3-0339	0
DGRP-3-0340	DGRP-3-0340	1
DGRP-3-0341	DGRP-3-0341	1
DGRP-3-0342	DGRP-3-0342	0
DGRP-3-0343	DGRP-3-0343	1
DGRP-3-0344	DGRP-3-0344	1
DGRP-3-0345	DGRP-3-0345	0
DGRP-3-0346	DGRP-3-0346	1
DGRP-3-0347	DGRP-3-0347	1
DGRP-3-0348	DGRP-3-0348	1
DGRP-3-0349	DGRP-3-0349	1
DGRP-3-0350	DGRP-3-0350	1
DGRP-3-0351	DGRP-3-0351	1
DGRP-3-0352	DGRP-3-0352	1
DGRP-3-0353	DGRP-3-0353	0
DGRP-3-0354	DGRP-3-0354	0
DGRP-3-0355	DGRP-3-0355	0
DGRP-3-0356	DGRP-3-0356	0
DGRP-3-0357	DGRP-3-0357	1
DGRP-3-0358	DGRP-3-0358	0
DGRP-3-0359	DGRP-3-0359	0
DGRP-3-0360	DGRP-3-0360	1
DGRP-3-0361	DGRP-3-0361	0
DGRP-3-0362	DGRP-3-0362	1
DGRP-3-0363	DGRP-3-0363	1
DGRP-3-0364	DGRP-3-0364	0
DGRP-3-0365	DGRP-3-0365	1
DGRP-3-0366	DGRP-3-0366	1
DGRP-3-0367	DGRP-3-0367	1
